"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 11 20:35:35 UTC 2026","Mon May 11 20:35:35 UTC 2026","0","tests","test_exercises_data_structures","TestGetCharacter","","","test_get_frodo",""
"passed","Mon May 11 20:35:35 UTC 2026","Mon May 11 20:35:35 UTC 2026","0","tests","test_exercises_strings","TestIsHobbit","","","test_bilbo_is_hobbit",""
"passed","Mon May 11 20:35:35 UTC 2026","Mon May 11 20:35:35 UTC 2026","0","tests","test_exercises_data_structures","","","","test_union_enemies[Sauron-True]",""
"passed","Mon May 11 20:35:35 UTC 2026","Mon May 11 20:35:35 UTC 2026","0","tests","test_exercises_strings","TestIsHobbit","","","test_empty_string",""
"passed","Mon May 11 20:35:36 UTC 2026","Mon May 11 20:35:36 UTC 2026","0","tests","test_isinstance","","","","test_show_type_with_numbers[0-Number: 0]",""
"passed","Mon May 11 20:35:35 UTC 2026","Mon May 11 20:35:35 UTC 2026","0","tests","test_exercises_data_structures","","","","test_unique_enemies[Shelob-True]",""
"passed","Mon May 11 20:35:35 UTC 2026","Mon May 11 20:35:35 UTC 2026","0","tests","test_exercises_strings","TestGreet","","","test_greet_returns_string",""
"passed","Mon May 11 20:35:36 UTC 2026","Mon May 11 20:35:36 UTC 2026","0","tests","test_isinstance","","","","test_show_type_returns_none_for_unsupported_types[value0]",""
"passed","Mon May 11 20:35:35 UTC 2026","Mon May 11 20:35:35 UTC 2026","0","tests","test_exercises_data_structures","TestIsCharacter","","","test_is_character_false",""
"passed","Mon May 11 20:35:35 UTC 2026","Mon May 11 20:35:35 UTC 2026","0","tests","test_exercises_data_structures","TestCreateDeque","","","test_create_deque_increases_size",""
"passed","Mon May 11 20:35:35 UTC 2026","Mon May 11 20:35:35 UTC 2026","0","tests","test_exercises_lists","","","","test_add_member",""
"passed","Mon May 11 20:35:35 UTC 2026","Mon May 11 20:35:35 UTC 2026","0","tests","test_exercises_data_structures","TestIsCharacter","","","test_is_character_true",""
"passed","Mon May 11 20:35:36 UTC 2026","Mon May 11 20:35:36 UTC 2026","0","tests","test_isinstance","","","","test_show_type_with_bool[True-Bool: True]",""
"passed","Mon May 11 20:35:35 UTC 2026","Mon May 11 20:35:35 UTC 2026","0","tests","test_exercises_data_structures","","","","test_get_length[coordinates0-9]",""
"passed","Mon May 11 20:35:35 UTC 2026","Mon May 11 20:35:35 UTC 2026","1","tests","test_exercises_data_structures","TestAddCharacter","","","test_add_missing_race",""
"passed","Mon May 11 20:35:35 UTC 2026","Mon May 11 20:35:35 UTC 2026","0","tests","test_exercises_data_structures","TestCreateOrdered","","","test_create_ordered_empty",""
"passed","Mon May 11 20:35:35 UTC 2026","Mon May 11 20:35:35 UTC 2026","0","tests","test_exercises_data_structures","","","","test_most_common_race",""
"passed","Mon May 11 20:35:35 UTC 2026","Mon May 11 20:35:35 UTC 2026","1","tests","test_exercises_data_structures","","","","test_is_in_set[Gollum-False]",""
